Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Age,Education level,Location,Nature,Reporting Type,Sex,Type of skill,Units
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",4,Afghanistan,2014,12.83215,2014,,,,,AFG - HIES - Households Living Conditions Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.,,,15-64,,,E,G,BOTHSEX,,PERCENT
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",4,Afghanistan,2014,8.19726,2014,,,,,AFG - HIES - Households Living Conditions Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.,,,15-64,,,E,G,FEMALE,,PERCENT
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",4,Afghanistan,2014,42.96634,2014,,,,,AFG - HIES - Households Living Conditions Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.,,,15-24,,,E,G,MALE,,PERCENT
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",4,Afghanistan,2014,31.94815,2014,,,,,AFG - HIES - Households Living Conditions Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.,,,15-24,,,E,G,BOTHSEX,,PERCENT
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",4,Afghanistan,2014,20.67723,2014,,,,,AFG - HIES - Households Living Conditions Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.,,,15-24,,,E,G,FEMALE,,PERCENT
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",4,Afghanistan,2014,17.48254,2014,,,,,AFG - HIES - Households Living Conditions Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.,,,15-64,,,E,G,MALE,,PERCENT
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",4,Afghanistan,2017,7.26331,2017,,,,,AFG - HIES - Households Living Conditions Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.,,,15-64,,,E,G,FEMALE,,PERCENT
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",4,Afghanistan,2017,11.94196,2017,,,,,AFG - HIES - Households Living Conditions Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.,,,15-64,,,E,G,BOTHSEX,,PERCENT
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",4,Afghanistan,2017,0.26805,2017,,,,,AFG - HIES - Households Living Conditions Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.,,,25-54,,,E,G,BOTHSEX,,PERCENT
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",4,Afghanistan,2017,0.15735,2017,,,,,AFG - HIES - Households Living Conditions Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.,,,25-54,,,E,G,FEMALE,,PERCENT
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",4,Afghanistan,2017,16.66899,2017,,,,,AFG - HIES - Households Living Conditions Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.,,,15-64,,,E,G,MALE,,PERCENT
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",4,Afghanistan,2017,30.02606,2017,,,,,AFG - HIES - Households Living Conditions Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.,,,15-24,,,E,G,BOTHSEX,,PERCENT
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",4,Afghanistan,2017,18.43835,2017,,,,,AFG - HIES - Households Living Conditions Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.,,,15-24,,,E,G,FEMALE,,PERCENT
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",4,Afghanistan,2017,0.35826,2017,,,,,AFG - HIES - Households Living Conditions Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.,,,25-54,,,E,G,MALE,,PERCENT
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",4,Afghanistan,2017,41.54895,2017,,,,,AFG - HIES - Households Living Conditions Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data extracted on 21 February 2024.,,,15-24,,,E,G,MALE,,PERCENT
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",4,Afghanistan,2021,7.09697,2021,,,,,AFG - LFS - Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data reference period: First quarter - Data extracted on 21 February 2024.,,,15-64,,,E,G,FEMALE,,PERCENT
4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",4,Afghanistan,2021,10.11281,2021,,,,,AFG - LFS - Labour Force Survey - Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Data reference period: First quarter - Data extracted on 21 February 2024.,,,15-64,,,E,G,BOTHSEX,,PERCENT
