GeoAreaName,Sex,TimePeriod_base,Value_base,Education level,Type of skill,TimePeriod_recent,Value_recent,PercentagePointChange
Algeria,BOTHSEX,2007,14.06701,PRIMAR,SKILL_MATH,2007,14.06701,0
Algeria,MALE,2007,13.20936,PRIMAR,SKILL_MATH,2007,13.20936,0
Algeria,FEMALE,2007,14.86734,PRIMAR,SKILL_MATH,2007,14.86734,0
Algeria,BOTHSEX,2015,19.04324,LOWSEC,SKILL_MATH,2015,19.04324,0
Algeria,MALE,2015,17.51152,LOWSEC,SKILL_MATH,2015,17.51152,0
Algeria,FEMALE,2015,20.7498,LOWSEC,SKILL_MATH,2015,20.7498,0
Algeria,FEMALE,2015,27.67634,LOWSEC,SKILL_READ,2015,27.67634,0
Algeria,BOTHSEX,2015,21.03063,LOWSEC,SKILL_READ,2015,21.03063,0
Algeria,MALE,2015,15.06583,LOWSEC,SKILL_READ,2015,15.06583,0
Palestine,FEMALE,2003,19.93676,LOWSEC,SKILL_MATH,2022,22.64,2.70324
Palestine,MALE,2003,17.22166,LOWSEC,SKILL_MATH,2022,16.82,-0.40166
Palestine,BOTHSEX,2003,18.70596,LOWSEC,SKILL_MATH,2022,20.06,1.35404
Palestine,MALE,2022,12.9,LOWSEC,SKILL_READ,2022,12.9,0
Palestine,BOTHSEX,2022,22.9,LOWSEC,SKILL_READ,2022,22.9,0
Palestine,FEMALE,2022,30.87,LOWSEC,SKILL_READ,2022,30.87,0
Iran,BOTHSEX,2001,56.19722,PRIMAR,SKILL_READ,2021,58.59795,2.40073
Iran,MALE,2001,49.18841,PRIMAR,SKILL_READ,2021,55.13523,5.94682
Iran,FEMALE,2001,62.02778,PRIMAR,SKILL_READ,2021,62.60574,0.57796
Iran,BOTHSEX,2003,19.89741,LOWSEC,SKILL_MATH,2019,37.1363,17.23889
Iran,FEMALE,2003,17.18027,PRIMAR,SKILL_MATH,2019,36.77985,19.59958
Iran,MALE,2003,18.61871,LOWSEC,SKILL_MATH,2019,35.0127,16.39399
Iran,BOTHSEX,2003,16.56551,PRIMAR,SKILL_MATH,2019,38.87119,22.30568
Iran,MALE,2003,16.17133,PRIMAR,SKILL_MATH,2019,40.78939,24.61806
Iran,FEMALE,2003,21.73981,LOWSEC,SKILL_MATH,2019,39.5593,17.81949
Jordan,BOTHSEX,2006,50.41184,LOWSEC,SKILL_READ,2022,20.43,-29.98184
Jordan,MALE,2006,33.73,LOWSEC,SKILL_MATH,2022,14.54,-19.19
Jordan,BOTHSEX,2006,33.64848,LOWSEC,SKILL_MATH,2022,17.15,-16.49848
Jordan,MALE,2006,38.55,LOWSEC,SKILL_READ,2022,12.24,-26.31
Jordan,FEMALE,2006,62.16,LOWSEC,SKILL_READ,2022,28.07,-34.09
Jordan,FEMALE,2006,33.57,LOWSEC,SKILL_MATH,2022,19.61,-13.96
Jordan,FEMALE,2021,52.43433,PRIMAR,SKILL_READ,2021,52.43433,0
Jordan,MALE,2021,40.69224,PRIMAR,SKILL_READ,2021,40.69224,0
Jordan,BOTHSEX,2021,46.63631,PRIMAR,SKILL_READ,2021,46.63631,0
