Sex,TimePeriod,Age,Value
BOTHSEX,2010,15-24,54.6372887804878
BOTHSEX,2010,15-64,17.06219256097561
BOTHSEX,2010,25-54,6.098127160493827
BOTHSEX,2010,55-64,3.0377745454545457
BOTHSEX,2011,15-24,55.48634686746988
BOTHSEX,2011,15-64,17.405823855421687
BOTHSEX,2011,25-54,6.476265185185186
BOTHSEX,2011,55-64,3.2608864150943395
BOTHSEX,2012,15-24,55.28973244186046
BOTHSEX,2012,15-64,17.29490686046512
BOTHSEX,2012,25-54,6.393365294117648
BOTHSEX,2012,55-64,3.126868305084746
BOTHSEX,2013,15-24,55.125069080459774
BOTHSEX,2013,15-64,16.895043333333334
BOTHSEX,2013,25-54,6.464454470588235
BOTHSEX,2013,55-64,2.9043365625
BOTHSEX,2014,15-24,54.25813041237114
BOTHSEX,2014,15-64,16.765834432989692
BOTHSEX,2014,25-54,6.151508064516129
BOTHSEX,2014,55-64,3.103768064516129
BOTHSEX,2015,15-24,55.52011987654321
BOTHSEX,2015,15-64,16.590887283950618
BOTHSEX,2015,25-54,6.623647750000001
BOTHSEX,2015,55-64,3.4367089285714285
BOTHSEX,2016,15-24,55.24487161290323
BOTHSEX,2016,15-64,16.573477204301074
BOTHSEX,2016,25-54,6.338390111111111
BOTHSEX,2016,55-64,3.038394153846154
BOTHSEX,2017,15-24,53.685660098039214
BOTHSEX,2017,15-64,16.27740617647059
BOTHSEX,2017,25-54,6.1471054
BOTHSEX,2017,55-64,3.173716417910448
BOTHSEX,2018,15-24,54.89859112244898
BOTHSEX,2018,15-64,16.17584244897959
BOTHSEX,2018,25-54,6.02330125
BOTHSEX,2018,55-64,3.1227506153846156
BOTHSEX,2019,15-24,54.16697761061947
BOTHSEX,2019,15-64,15.87662849557522
BOTHSEX,2019,25-54,5.825280648148148
BOTHSEX,2019,55-64,2.9895557142857143
BOTHSEX,2021,15-24,57.215334329896905
BOTHSEX,2021,15-64,16.964468453608248
BOTHSEX,2021,25-54,6.702600638297872
BOTHSEX,2021,55-64,3.3217498550724636
BOTHSEX,2022,15-24,54.50462076923077
BOTHSEX,2022,15-64,14.414889384615384
BOTHSEX,2022,25-54,4.5608925
BOTHSEX,2022,55-64,1.5561935555555557
BOTHSEX,2023,15-24,49.281504999999996
BOTHSEX,2023,15-64,17.71368
BOTHSEX,2023,25-54,4.211045
BOTHSEX,2023,55-64,0.38133
FEMALE,2010,15-24,55.56116256097561
FEMALE,2010,15-64,17.27750743902439
FEMALE,2010,25-54,6.629193580246914
FEMALE,2010,55-64,4.018518775510204
FEMALE,2011,15-24,56.43462325301205
FEMALE,2011,15-64,17.506851927710844
FEMALE,2011,25-54,6.954844320987655
FEMALE,2011,55-64,4.230537234042553
FEMALE,2012,15-24,56.49242720930233
FEMALE,2012,15-64,17.462243023255812
FEMALE,2012,25-54,6.813564352941176
FEMALE,2012,55-64,3.932602181818182
FEMALE,2013,15-24,56.25000333333333
FEMALE,2013,15-64,17.076998505747127
FEMALE,2013,25-54,6.899526470588235
FEMALE,2013,55-64,3.7296813793103447
FEMALE,2014,15-24,55.15870257731959
FEMALE,2014,15-64,16.844127216494844
FEMALE,2014,25-54,6.56204623655914
FEMALE,2014,55-64,4.023950714285714
FEMALE,2015,15-24,56.97051839506173
FEMALE,2015,15-64,16.919658148148148
FEMALE,2015,25-54,7.117622125
FEMALE,2015,55-64,4.105565925925926
FEMALE,2016,15-24,56.76807946236559
FEMALE,2016,15-64,16.851086451612904
FEMALE,2016,25-54,6.818863111111111
FEMALE,2016,55-64,3.818774666666667
FEMALE,2017,15-24,54.47182627450981
FEMALE,2017,15-64,16.238276764705883
FEMALE,2017,25-54,6.4172437
FEMALE,2017,55-64,3.649482857142857
FEMALE,2018,15-24,56.13143234693877
FEMALE,2018,15-64,16.413968673469387
FEMALE,2018,25-54,6.573743368421053
FEMALE,2018,55-64,3.804053015873016
FEMALE,2019,15-24,55.502245398230095
FEMALE,2019,15-64,16.11676300884956
FEMALE,2019,25-54,6.292112129629629
FEMALE,2019,55-64,3.754827101449276
FEMALE,2021,15-24,58.95957298969073
FEMALE,2021,15-64,17.32556298969072
FEMALE,2021,25-54,7.280349042553191
FEMALE,2021,55-64,3.94450126984127
FEMALE,2022,15-24,56.54821092307692
FEMALE,2022,15-64,14.633293384615385
FEMALE,2022,25-54,4.80526640625
FEMALE,2022,55-64,1.6625509523809523
FEMALE,2023,15-24,52.529394999999994
FEMALE,2023,15-64,18.324559999999998
FEMALE,2023,25-54,4.40692
FEMALE,2023,55-64,0.44048
MALE,2010,15-24,53.79460926829269
MALE,2010,15-64,16.857383414634146
MALE,2010,25-54,5.5667859259259265
MALE,2010,55-64,2.742699795918367
MALE,2011,15-24,54.65915325301204
MALE,2011,15-64,17.341298072289156
MALE,2011,25-54,5.994222962962963
MALE,2011,55-64,2.9264314285714286
MALE,2012,15-24,54.22195313953489
MALE,2012,15-64,17.154028023255815
MALE,2012,25-54,5.971178823529412
MALE,2012,55-64,2.8235649056603775
MALE,2013,15-24,54.10415229885057
MALE,2013,15-64,16.734531954022987
MALE,2013,25-54,6.0329180000000004
MALE,2013,55-64,2.5797272881355933
MALE,2014,15-24,53.484388556701035
MALE,2014,15-64,16.723630515463917
MALE,2014,25-54,5.747771935483871
MALE,2014,55-64,2.7837094642857143
MALE,2015,15-24,54.17170160493827
MALE,2015,15-64,16.274196049382713
MALE,2015,25-54,6.12690325
MALE,2015,55-64,3.0361798113207548
MALE,2016,15-24,53.87729494623656
MALE,2016,15-64,16.27336053763441
MALE,2016,25-54,5.849284
MALE,2016,55-64,2.7794536206896554
MALE,2017,15-24,53.088542352941175
MALE,2017,15-64,16.365438333333334
MALE,2017,25-54,5.892257600000001
MALE,2017,55-64,3.1990171666666667
MALE,2018,15-24,53.86085
MALE,2018,15-64,15.977781326530613
MALE,2018,25-54,5.6083902105263155
MALE,2018,55-64,2.7748176271186438
MALE,2019,15-24,52.99235973451328
MALE,2019,15-64,15.676171592920355
MALE,2019,25-54,5.350389259259259
MALE,2019,55-64,2.9599983582089555
MALE,2021,15-24,55.62545927835051
MALE,2021,15-64,16.63842917525773
MALE,2021,25-54,6.135384148936169
MALE,2021,55-64,3.1750461538461536
MALE,2022,15-24,52.622057846153844
MALE,2022,15-64,14.222874153846153
MALE,2022,25-54,4.31169484375
MALE,2022,55-64,1.5662040476190475
MALE,2023,15-24,45.90678
MALE,2023,15-64,17.030425
MALE,2023,25-54,4.029645
MALE,2023,55-64,0.46765
